actual,proposed
1.025923272e-06,0.0
1.025923272e-06,0.0
0.00427113504928,0.0
0.00050421373376,0.0
0.00050421373376,0.0
4.9300152352e-05,0.0
9.8367933312e-06,0.0
9.8367933312e-06,0.0
1.4422046848e-06,0.0
7.8695893408e-06,0.0
1.84170734528e-05,0.0
1.84170734528e-05,0.0
2.04972891552e-05,0.0
1.97978011968e-05,0.0
1.91423109152e-05,0.0
1.91423109152e-05,0.0
1.4504159155199999e-05,0.0
1.4504159155199999e-05,0.0
1.31512417696e-05,0.0
9.5843096096e-06,0.0
9.5843096096e-06,0.0
7.178353740800001e-06,0.0
4.5680424768e-06,0.0
4.5680424768e-06,0.0
3.18066188352e-06,0.0
2.1266774636799997e-06,0.0
2.1266774636799997e-06,0.0
1.4808226822399998e-06,0.0
7.834201654399999e-07,0.0
7.834201654399999e-07,0.0
9.0407268512e-07,0.0
9.348120495999999e-07,0.0
9.348120495999999e-07,0.0
1.11911278336e-06,0.0
5.147522547200001e-07,0.0
5.147522547200001e-07,0.0
5.8780350816e-07,0.0
6.8622517568e-07,0.0
6.3307167264e-07,0.0
6.3307167264e-07,0.0
8.7627707904e-07,0.0
5.4069398592e-07,0.0
5.4069398592e-07,0.0
9.5435932064e-07,0.0
9.657092192e-07,0.0
6.018857152e-07,0.0
6.018857152e-07,0.0
1.5875248716800001e-06,0.0
5.326709590400001e-07,0.0
5.326709590400001e-07,0.0
5.0547393952e-07,0.0
6.6335460928e-07,0.0
6.6335460928e-07,0.0
6.0856493984e-07,0.0
6.8371146976e-07,0.0
6.8371146976e-07,0.0
5.5228930944e-07,0.0
1.1770670489599999e-06,0.0
6.1869397216e-07,0.0
6.1869397216e-07,0.0
5.9159351328e-07,0.0
1.09672189088e-06,0.0
1.09672189088e-06,0.0
6.539435232e-07,0.0
2.5893915801599995e-07,0.0
2.5893915801599995e-07,0.0
6.042442982399999e-07,0.0
6.2302042528e-07,0.0
6.2302042528e-07,0.0
6.364128496e-07,0.0
2.6535422672e-07,0.0
2.6535422672e-07,0.0
5.8177875008e-07,0.0
2.54731483424e-07,0.0
3.43774564672e-07,0.0
3.43774564672e-07,0.0
3.8137773660799997e-07,0.0
1.56175122752e-06,0.0
1.56175122752e-06,0.0
2.5390253715199996e-07,0.0
6.3444497952e-07,0.0
6.3444497952e-07,0.0
2.54679090336e-07,0.0
6.3263670272e-07,0.0
6.3263670272e-07,0.0
2.6115665523200003e-07,0.0
5.8266835968e-07,0.0
2.58192556512e-07,0.0
2.58192556512e-07,0.0
2.57205402784e-07,0.0
2.4115841024000004e-07,0.0
2.5476094336e-07,0.0
2.5476094336e-07,0.0
2.54507874016e-07,0.0
2.5399941072e-07,0.0
2.5399941072e-07,0.0
2.53516249888e-07,0.0
2.5303603952e-07,0.0
2.5303603952e-07,0.0
2.5279892950400003e-07,0.0
2.52557170272e-07,0.0
2.52077451648e-07,0.0
2.52077451648e-07,0.0
2.51599074144e-07,0.0
2.51599074144e-07,0.0
2.51357359616e-07,0.0
2.50880770272e-07,0.0
2.50880770272e-07,0.0
2.5064683424e-07,0.0
2.50163896928e-07,0.0
2.50163896928e-07,0.0
2.49931704352e-07,0.0
2.494583784e-07,0.0
2.494583784e-07,0.0
2.49213489888e-07,0.0
2.4898129731199997e-07,0.0
5.5257452096e-07,0.0
5.5257452096e-07,0.0
2.64896413056e-07,0.0
3.0645673836799995e-07,0.0
3.0645673836799995e-07,0.0
3.55772447712e-07,0.0
3.55772447712e-07,0.0
3.59356277984e-07,0.0
3.043962416e-07,0.0
3.043962416e-07,0.0
4.8678990272e-07,0.0
4.9928511776e-07,0.0
4.9928511776e-07,0.0
4.991662051199999e-07,0.0
4.98930168e-07,0.0
4.98930168e-07,0.0
3.19826765984e-07,0.0
3.8861477776e-07,0.0
3.8861477776e-07,0.0
3.69367828192e-07,0.0
3.6620801536e-07,0.0
3.44909331008e-07,0.0
3.44909331008e-07,0.0
4.14255382816e-07,0.0
